symbol, 연속 하락 일, 총 하락 수, 연속 하락 후 상승 수, 상슬률%
BTC, 1, 836, 441.0, 52.75%
BTC, 2, 395, 206.0, 52.15%
BTC, 3, 189, 91.0, 48.15%
BTC, 4, 98, 49.0, 50.00%
BTC, 5, 49, 24.0, 48.98%
BTC, 6, 25, 15.0, 60.00%
BTC, 7, 10, 6.0, 60.00%
BTC, 8, 4, 3.0, 75.00%
BTC, 9, 1, 1.0, 100.00%
ETH, 1, 855, 459.0, 53.68%
ETH, 2, 396, 214.0, 54.04%
ETH, 3, 182, 94.0, 51.65%
ETH, 4, 88, 43.0, 48.86%
ETH, 5, 45, 28.0, 62.22%
ETH, 6, 17, 8.0, 47.06%
ETH, 7, 9, 5.0, 55.56%
ETH, 8, 4, 2.0, 50.00%
ETH, 9, 2, 1.0, 50.00%
ETH, 10, 1, 1.0, 100.00%
NEO, 1, 866, 456.0, 52.66%
NEO, 2, 410, 220.0, 53.66%
NEO, 3, 190, 99.0, 52.11%
NEO, 4, 91, 41.0, 45.05%
NEO, 5, 50, 22.0, 44.00%
NEO, 6, 28, 17.0, 60.71%
NEO, 7, 11, 7.0, 63.64%
NEO, 8, 4, 3.0, 75.00%
NEO, 9, 1, 1.0, 100.00%
MTL, 1, 871, 435.0, 49.94%
MTL, 2, 436, 210.0, 48.17%
MTL, 3, 226, 116.0, 51.33%
MTL, 4, 110, 56.0, 50.91%
MTL, 5, 54, 28.0, 51.85%
MTL, 6, 26, 14.0, 53.85%
MTL, 7, 12, 6.0, 50.00%
MTL, 8, 6, 4.0, 66.67%
MTL, 9, 2, 1.0, 50.00%
MTL, 10, 1, 1.0, 100.00%
XRP, 1, 866, 462.0, 53.35%
XRP, 2, 404, 220.0, 54.46%
XRP, 3, 184, 108.0, 58.70%
XRP, 4, 76, 37.0, 48.68%
XRP, 5, 39, 22.0, 56.41%
XRP, 6, 17, 11.0, 64.71%
XRP, 7, 6, 5.0, 83.33%
XRP, 8, 1, 1.0, 100.00%
ETC, 1, 880, 456.0, 51.82%
ETC, 2, 424, 215.0, 50.71%
ETC, 3, 209, 104.0, 49.76%
ETC, 4, 105, 50.0, 47.62%
ETC, 5, 55, 24.0, 43.64%
ETC, 6, 31, 14.0, 45.16%
ETC, 7, 17, 8.0, 47.06%
ETC, 8, 9, 6.0, 66.67%
ETC, 9, 3, 1.0, 33.33%
ETC, 10, 2, 1.0, 50.00%
OMG, 1, 899, 444.0, 49.39%
OMG, 2, 455, 225.0, 49.45%
OMG, 3, 230, 106.0, 46.09%
OMG, 4, 124, 55.0, 44.35%
OMG, 5, 69, 37.0, 53.62%
OMG, 6, 32, 20.0, 62.50%
OMG, 7, 12, 9.0, 75.00%
OMG, 8, 3, 3.0, 100.00%
SNT, 1, 857, 427.0, 49.82%
SNT, 2, 429, 210.0, 48.95%
SNT, 3, 218, 104.0, 47.71%
SNT, 4, 114, 49.0, 42.98%
SNT, 5, 65, 30.0, 46.15%
SNT, 6, 35, 17.0, 48.57%
SNT, 7, 18, 9.0, 50.00%
SNT, 8, 9, 7.0, 77.78%
SNT, 9, 2, 2.0, 100.00%
WAVES, 1, 874, 444.0, 50.80%
WAVES, 2, 430, 204.0, 47.44%
WAVES, 3, 226, 112.0, 49.56%
WAVES, 4, 114, 55.0, 48.25%
WAVES, 5, 59, 29.0, 49.15%
WAVES, 6, 30, 14.0, 46.67%
WAVES, 7, 16, 7.0, 43.75%
WAVES, 8, 9, 3.0, 33.33%
WAVES, 9, 6, 2.0, 33.33%
WAVES, 10, 4, 2.0, 50.00%
XEM, 1, 868, 429.0, 49.42%
XEM, 2, 439, 208.0, 47.38%
XEM, 3, 231, 116.0, 50.22%
XEM, 4, 115, 52.0, 45.22%
XEM, 5, 63, 28.0, 44.44%
XEM, 6, 35, 18.0, 51.43%
XEM, 7, 17, 11.0, 64.71%
XEM, 8, 6, 4.0, 66.67%
XEM, 9, 2, 1.0, 50.00%
XEM, 10, 1, 1.0, 100.00%
QTUM, 1, 877, 450.0, 51.31%
QTUM, 2, 427, 215.0, 50.35%
QTUM, 3, 212, 115.0, 54.25%
QTUM, 4, 97, 48.0, 49.48%
QTUM, 5, 49, 24.0, 48.98%
QTUM, 6, 25, 13.0, 52.00%
QTUM, 7, 12, 7.0, 58.33%
